Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.base.ui.MainLayout;17;3;2;0;3;47,6364;85366,3519;0,6463;254;133;1792,0417;2;101;33,2362;74;70;0;4;11;101;N/A;5;98;0;0;58;0,1667;1;7
com.example.qrcode.QrCodeGenerator;3;0;1;0;1;7,5;1100,391;0,0355;32;24;146,7188;1;19;56,8573;5;6;0;1;0;15;N/A;2;15;0;0;7;0;1;2
